time x y z x_d y_d z_d error_x error_y error_z
0.13 0.306999 5.39833e-05 0.486699 0.306942 3.97515e-05 0.486778 5.73431e-05 1.42319e-05 -7.88654e-05
0.131 0.307 5.24818e-05 0.4867 0.306942 3.97515e-05 0.486778 5.81399e-05 1.27303e-05 -7.78421e-05
0.132 0.307001 5.40701e-05 0.4867 0.306942 3.97515e-05 0.486778 5.87135e-05 1.43186e-05 -7.84057e-05
0.133 0.307001 5.36825e-05 0.486703 0.306942 3.97515e-05 0.486778 5.8818e-05 1.3931e-05 -7.51567e-05
0.134 0.307001 5.3302e-05 0.4867 0.306942 3.97515e-05 0.486778 5.92257e-05 1.35505e-05 -7.80895e-05
0.135 0.307003 5.30881e-05 0.486702 0.306942 3.97515e-05 0.486778 6.05312e-05 1.33366e-05 -7.61187e-05
0.136 0.307003 5.20577e-05 0.486699 0.306942 3.97515e-05 0.486778 6.0653e-05 1.23062e-05 -7.85439e-05
0.137 0.307003 5.13515e-05 0.486701 0.306942 3.97515e-05 0.486778 6.08056e-05 1.16e-05 -7.74027e-05
0.138 0.307002 5.09141e-05 0.486702 0.306942 3.97515e-05 0.486778 6.01174e-05 1.11626e-05 -7.56386e-05
0.139 0.307002 5.2996e-05 0.486701 0.306942 3.97515e-05 0.486778 5.97158e-05 1.32445e-05 -7.71738e-05
0.14 0.307002 5.32328e-05 0.486699 0.306942 3.97515e-05 0.486778 5.98321e-05 1.34813e-05 -7.90175e-05
0.141 0.307003 5.29502e-05 0.486699 0.306942 3.97515e-05 0.486778 6.11435e-05 1.31987e-05 -7.88146e-05
0.142 0.307002 5.0628e-05 0.486698 0.306942 3.97515e-05 0.486778 5.99987e-05 1.08765e-05 -8.01117e-05
0.143 0.307003 5.06078e-05 0.486701 0.306942 3.97515e-05 0.486778 6.11211e-05 1.08563e-05 -7.74844e-05
0.144 0.307003 5.15389e-05 0.486698 0.306942 3.97515e-05 0.486778 6.13806e-05 1.17874e-05 -8.02452e-05
0.145 0.307003 5.47134e-05 0.486699 0.306942 3.97515e-05 0.486778 6.04966e-05 1.49619e-05 -7.90698e-05
0.146 0.307003 5.2803e-05 0.486699 0.306942 3.97515e-05 0.486778 6.08586e-05 1.30516e-05 -7.86942e-05
0.147 0.307002 5.2377e-05 0.486698 0.306942 3.97515e-05 0.486778 5.98522e-05 1.26255e-05 -7.99907e-05
0.148 0.307003 5.27955e-05 0.486699 0.306942 3.97515e-05 0.486778 6.1036e-05 1.3044e-05 -7.88372e-05
0.149 0.307002 5.41878e-05 0.4867 0.306942 3.97515e-05 0.486778 5.95525e-05 1.44363e-05 -7.84606e-05
0.15 0.307002 5.42528e-05 0.4867 0.306942 3.97515e-05 0.486778 6.03511e-05 1.45013e-05 -7.75379e-05
0.151 0.307004 5.51817e-05 0.486698 0.306942 3.97515e-05 0.486778 6.20802e-05 1.54302e-05 -7.99807e-05
0.152 0.307002 5.40677e-05 0.486699 0.306942 3.97515e-05 0.486778 6.04021e-05 1.43163e-05 -7.8652e-05
0.153 0.307003 5.26068e-05 0.486698 0.306942 3.97515e-05 0.486778 6.10267e-05 1.28553e-05 -7.98693e-05
0.154 0.307003 5.26436e-05 0.486698 0.306942 3.97515e-05 0.486778 6.10149e-05 1.28921e-05 -7.95705e-05
0.155 0.307004 5.24835e-05 0.486698 0.306942 3.97515e-05 0.486778 6.16031e-05 1.2732e-05 -7.9568e-05
0.156 0.307004 5.32589e-05 0.4867 0.306942 3.97515e-05 0.486778 6.15699e-05 1.35074e-05 -7.76835e-05
0.157 0.307004 5.21338e-05 0.486702 0.306942 3.97515e-05 0.486778 6.2259e-05 1.23823e-05 -7.59472e-05
0.158 0.307005 5.28597e-05 0.486701 0.306942 3.97515e-05 0.486778 6.31115e-05 1.31082e-05 -7.65301e-05
0.159 0.307004 5.44227e-05 0.486703 0.306942 3.97515e-05 0.486778 6.21617e-05 1.46712e-05 -7.48144e-05
0.16 0.307005 5.16767e-05 0.486701 0.306942 3.97515e-05 0.486778 6.29849e-05 1.19252e-05 -7.69829e-05
0.161 0.307005 5.43005e-05 0.486705 0.306942 3.97515e-05 0.486778 6.31427e-05 1.4549e-05 -7.25294e-05
0.162 0.307006 5.58698e-05 0.486702 0.306942 3.97515e-05 0.486778 6.42914e-05 1.61183e-05 -7.5773e-05
0.163 0.307005 5.46489e-05 0.486701 0.306942 3.97515e-05 0.486778 6.32806e-05 1.48975e-05 -7.68159e-05
0.164 0.307006 5.65941e-05 0.486703 0.306942 3.97515e-05 0.486778 6.44564e-05 1.68426e-05 -7.47113e-05
0.165 0.307006 5.54248e-05 0.486702 0.306942 3.97515e-05 0.486778 6.40235e-05 1.56734e-05 -7.60234e-05
0.166 0.307007 5.50473e-05 0.486704 0.306942 3.97515e-05 0.486778 6.48351e-05 1.52958e-05 -7.39655e-05
