O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z
0.999803 -0.0135441 -0.0138365 0 -0.0132618 -0.999696 0.0202965 0 -0.0141074 -0.0201093 -0.999698 0 0.309324 -0.00357311 0.483312 1 0.0100801 0.000790164 0.000170231 -0.000126092 0.00213985 -3.28e-05 -0.00247463 6.30519e-05 -0.0118154 -0.00019976 -0.000994899 2.27771e-05 0.309328 -0.003573 0.483325 2.05374e-05 0 -2.05374e-05 0.000851598 0 -0.000851598 
0.999803 -0.0135497 -0.0138442 0 -0.0132673 -0.999696 0.0202935 0 -0.0141152 -0.0201062 -0.999698 0 0.309324 -0.00357388 0.483309 1 -0.00568758 0.00274833 0.000225343 -0.000529715 -0.00123396 4.6811e-05 0.00167322 -4.26394e-05 0.00798932 0.00013507 0.000672703 -1.53998e-05 0.309328 -0.003573 0.483325 2.13978e-05 0 -2.13978e-05 0.000869077 0 -0.000869077 
0.999803 -0.0135462 -0.0138436 0 -0.0132637 -0.999696 0.020295 0 -0.0141146 -0.0201077 -0.999698 0 0.309324 -0.00357398 0.483309 1 -0.000487939 0.00232862 -0.000127025 -0.00042876 -0.000115884 1.59505e-05 -0.000398117 1.01454e-05 -0.00190093 -3.21385e-05 -0.00016006 3.66436e-06 0.309328 -0.003573 0.483325 2.22756e-05 0 -2.22756e-05 0.000886545 0 -0.000886545 
0.999803 -0.0135449 -0.0138345 0 -0.0132626 -0.999696 0.0202948 0 -0.0141055 -0.0201077 -0.999698 0 0.309324 -0.0035725 0.483312 1 0.0116089 -0.00156124 0.000869215 0.000332535 0.00252877 -5.48459e-05 -0.00237781 6.05878e-05 -0.0113532 -0.000191942 -0.00095598 2.18841e-05 0.309328 -0.003573 0.483325 2.31708e-05 0 -2.31708e-05 0.000904002 0 -0.000904002 
0.999803 -0.0135402 -0.0138446 0 -0.0132577 -0.999696 0.0202983 0 -0.0141155 -0.0201111 -0.999698 0 0.309324 -0.0035723 0.48331 1 -0.00426176 -0.00220622 -0.000736981 0.00038942 -0.000951125 -4.13569e-06 -0.000558878 1.42379e-05 -0.00266851 -4.51158e-05 -0.000224691 5.14482e-06 0.309328 -0.003573 0.483325 2.40836e-05 0 -2.40836e-05 0.000921449 0 -0.000921449 
0.999803 -0.0135507 -0.013847 0 -0.0132681 -0.999696 0.0203007 0 -0.0141181 -0.0201134 -0.999698 0 0.309324 -0.00357333 0.483308 1 -0.00777195 -0.0015901 0.000639947 0.000284907 -0.00165207 3.23046e-05 0.00231754 -5.90455e-05 0.0110659 0.000187095 0.000931744 -2.13372e-05 0.309328 -0.003573 0.483325 2.50137e-05 0 -2.50137e-05 0.000938885 0 -0.000938885 
0.999803 -0.0135458 -0.0138402 0 -0.0132633 -0.999696 0.0203009 0 -0.0141112 -0.0201138 -0.999698 0 0.309321 -0.00357251 0.483312 1 0.0122079 -0.00209347 0.000828031 0.000419681 0.00259991 -5.95714e-05 -0.00209875 5.34645e-05 -0.0100206 -0.000169421 -0.000843771 1.93216e-05 0.309328 -0.003573 0.483325 2.59613e-05 0 -2.59613e-05 0.00095631 0 -0.00095631 
0.999803 -0.0135379 -0.0138401 0 -0.0132555 -0.999696 0.0202975 0 -0.0141109 -0.0201105 -0.999698 0 0.309324 -0.00357202 0.483311 1 0.000952636 0.00119842 0.000194656 -0.000217525 0.000213873 -9.34328e-06 -0.000382278 9.73955e-06 -0.00182526 -3.08593e-05 -0.000153691 3.51887e-06 0.309328 -0.003573 0.483325 2.69263e-05 0 -2.69263e-05 0.000973725 0 -0.000973725 
0.999803 -0.0135524 -0.0138395 0 -0.0132699 -0.999696 0.0202998 0 -0.0141107 -0.0201125 -0.999698 0 0.309323 -0.00357313 0.483311 1 0.00455912 -0.00028632 0.000357544 6.79228e-05 0.000994485 -8.9693e-06 -0.0011848 3.01855e-05 -0.00565705 -9.56447e-05 -0.000476338 1.09071e-05 0.309328 -0.003573 0.483325 2.79088e-05 0 -2.79088e-05 0.000991129 0 -0.000991129 
0.999803 -0.0135378 -0.0138487 0 -0.0132552 -0.999696 0.0202981 0 -0.0141196 -0.0201109 -0.999698 0 0.309322 -0.00357118 0.483309 1 -0.00536538 -0.000462832 0.000681515 7.11189e-05 -0.0011775 5.51538e-06 0.00223533 -5.69422e-05 0.0106731 0.000180446 0.000898683 -2.05779e-05 0.309328 -0.003573 0.483325 2.89086e-05 0 -2.89086e-05 0.00100852 0 -0.00100852 
