O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz
0.99999 -0.000200066 5.8373e-05 0 -0.000200082 -0.99999 0.000275128 0 5.83185e-05 -0.000275142 -1 0 0.306861 -4.11521e-05 0.486921 1 0.0120527 0.00437306 0.0987686 0.000525212 0.00621932 -1.17805e-05 0.00522001 -0.000164577 0.0233066 0.000312712 0.00209527 -5.58023e-07 0.306848 -4.39117e-05 0.486929 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.306861 -4.11521e-05 0.486921 1.21029e-05 2.75958e-06 -8.02063e-06 -9.53756e-06 1.31445e-05 2.95859e-06 -0.000286528 -0.000240537 -0.00142366 3.14132 5.83191e-05 0.000200084 3.14134 8.4607e-05 0.000206008 0.0117601 0.00430886 0.0987151 0.000536332 -0.00615467 1.05116e-05 
0.99999 -0.000197231 5.75846e-05 0 -0.000197247 -0.99999 0.000274481 0 5.7531e-05 -0.000274495 -1 0 0.306861 -4.12177e-05 0.48692 1 -0.0245563 0.00114592 0.106557 0.00110393 -0.000748238 -2.73467e-05 0.0058225 -0.000183581 0.025997 0.000348809 0.00233712 -6.21192e-07 0.306848 -4.39117e-05 0.486929 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.306861 -4.12177e-05 0.48692 1.28254e-05 2.694e-06 -8.89199e-06 -9.21426e-06 1.35386e-05 4.37603e-06 -2.69326e-05 -0.000112721 -0.00158805 3.14132 5.75316e-05 0.000197249 3.14134 8.4607e-05 0.000206008 -0.0248579 0.00108418 0.106502 0.00111457 0.000814935 2.80669e-05 
0.99999 -0.000189713 6.25176e-05 0 -0.00018973 -0.99999 0.000272833 0 6.24664e-05 -0.000272848 -1 0 0.306859 -4.13583e-05 0.486923 1 0.168078 0.0028574 -0.00320555 -0.000386389 0.0337063 -7.86177e-05 -0.00127662 4.02515e-05 -0.0056998 -7.64743e-05 -0.000512425 1.34985e-07 0.306848 -4.39117e-05 0.486929 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.306859 -4.13583e-05 0.486923 1.10692e-05 2.55337e-06 -6.55777e-06 -8.39062e-06 1.10719e-05 8.13534e-06 -0.00100505 -0.000108695 0.000346714 3.14132 6.2467e-05 0.000189732 3.14134 8.4607e-05 0.000206008 0.167832 0.00280077 -0.00325033 -0.000376417 -0.0336518 6.99178e-05 
0.99999 -0.000185821 5.6396e-05 0 -0.000185837 -0.99999 0.000272613 0 5.63459e-05 -0.000272626 -1 0 0.306859 -3.94913e-05 0.486921 1 0.104088 -0.0225836 0.0153716 0.0040812 0.0213955 -7.63795e-05 0.000156269 -4.92646e-06 0.000697712 9.36093e-06 6.27247e-05 -1.65656e-08 0.306848 -4.39117e-05 0.486929 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306859 -3.94913e-05 0.486921 1.06762e-05 4.42039e-06 -8.25091e-06 -8.27981e-06 1.41327e-05 1.00812e-05 -0.000726117 0.000328999 -4.44532e-05 3.14132 5.63464e-05 0.000185838 3.14134 8.4607e-05 0.000206008 0.103772 -0.0226384 0.0153128 0.00409056 -0.0213256 7.13843e-05 
0.99999 -0.000188618 5.51543e-05 0 -0.000188633 -0.99999 0.000274379 0 5.51031e-05 -0.000274392 -1 0 0.306858 -4.0064e-05 0.486922 1 0.100367 -0.00767661 -0.0364981 0.000850352 0.0186507 -1.57054e-05 -0.00263441 8.30532e-05 -0.011762 -0.000157812 -0.00105742 2.81324e-07 0.306848 -4.39117e-05 0.486929 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 0.306858 -4.0064e-05 0.486922 9.91136e-06 3.84773e-06 -7.33196e-06 -9.16287e-06 1.47537e-05 8.68262e-06 -0.000618292 0.000159984 0.000716421 3.14132 5.51036e-05 0.000188635 3.14134 8.4607e-05 0.000206008 0.100038 -0.00773754 -0.0365592 0.000860807 -0.0185778 1.12249e-05 
0.99999 -0.000194617 4.5832e-05 0 -0.000194629 -0.99999 0.000270902 0 4.57797e-05 -0.000270913 -1 0 0.306859 -4.17636e-05 0.48692 1 0.024713 0.0183355 0.00790363 -0.00322422 0.00493415 1.84531e-05 0.000299883 -9.45568e-06 0.00133894 1.79643e-05 0.000120368 -3.17702e-08 0.306848 -4.39117e-05 0.486929 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 0.306859 -4.17636e-05 0.48692 1.01224e-05 2.1481e-06 -9.52548e-06 -7.42315e-06 1.94145e-05 5.68342e-06 -0.000314271 -0.00018882 -8.40276e-05 3.14132 4.57802e-05 0.000194631 3.14134 8.4607e-05 0.000206008 0.0242783 0.0182887 0.00782015 -0.00321698 -0.00483756 -1.94227e-05 
0.99999 -0.000201315 4.38049e-05 0 -0.000201327 -0.99999 0.000273713 0 4.37502e-05 -0.000273724 -1 0 0.306858 -4.14399e-05 0.486919 1 0.0673945 -0.00477728 0.0241697 0.00103046 0.0142925 2.9924e-05 0.000867682 -2.73561e-05 0.00387411 5.19791e-05 0.000348273 -9.30056e-08 0.306848 -4.39117e-05 0.486929 2.29663e-06 0 -2.29663e-06 0.000286619 0 -0.000286619 0.306858 -4.14399e-05 0.486919 9.09269e-06 2.47181e-06 -1.0295e-05 -8.82844e-06 2.04284e-05 2.33435e-06 -0.00055288 6.9253e-05 -0.000238966 3.14132 4.37506e-05 0.000201329 3.14134 8.4607e-05 0.000206008 0.0669374 -0.00483388 0.0240825 0.0010394 -0.0141911 -3.33372e-05 
0.99999 -0.000194572 4.75369e-05 0 -0.000194585 -0.99999 0.00027767 0 4.74833e-05 -0.000277682 -1 0 0.306857 -4.19436e-05 0.486919 1 0.0864014 -0.0101625 0.0533412 0.0023745 0.0194906 -1.2391e-05 0.00225542 -7.11043e-05 0.0100701 0.000135118 0.00090529 -2.44839e-07 0.306848 -4.39117e-05 0.486929 2.59216e-06 0 -2.59216e-06 0.000304441 0 -0.000304441 0.306857 -4.19436e-05 0.486919 8.37334e-06 1.96807e-06 -1.01468e-05 -1.08077e-05 1.85627e-05 5.70561e-06 -0.000593185 0.000129104 -0.00061746 3.14131 4.74838e-05 0.000194587 3.14134 8.4607e-05 0.000206008 0.0859873 -0.010234 0.0532639 0.00238655 -0.0193989 7.66541e-06 
0.99999 -0.000195609 4.40508e-05 0 -0.000195621 -0.99999 0.000274932 0 4.39974e-05 -0.000274943 -1 0 0.306859 -4.34413e-05 0.486917 1 -0.0552177 0.0253819 0.0722174 -0.0036079 -0.00826549 3.3826e-06 0.0041137 -0.000129718 0.0183676 0.000246452 0.00165119 -4.42896e-07 0.306848 -4.39117e-05 0.486929 2.90551e-06 0 -2.90551e-06 0.000322252 0 -0.000322252 0.306859 -4.34413e-05 0.486917 1.02703e-05 4.70371e-07 -1.18048e-05 -9.43815e-06 2.03055e-05 5.18735e-06 0.000237028 -0.000331305 -0.00112426 3.14132 4.39979e-05 0.000195623 3.14134 8.4607e-05 0.000206008 -0.0556717 0.0253209 0.0721312 -0.00359803 0.00836623 -7.19613e-07 
0.99999 -0.000199714 5.04265e-05 0 -0.000199728 -0.99999 0.00028011 0 5.0371e-05 -0.000280123 -1 0 0.306859 -4.24976e-05 0.48692 1 -0.0305618 0.0470457 -0.0259267 -0.00824366 -0.00699931 7.7736e-05 -0.00140911 4.44225e-05 -0.0062915 -8.442e-05 -0.000565599 1.54107e-07 0.306848 -4.39117e-05 0.486929 3.23667e-06 0 -3.23667e-06 0.000340053 0 -0.000340053 0.306859 -4.24976e-05 0.48692 1.08362e-05 1.41406e-06 -8.9321e-06 -1.20278e-05 1.71182e-05 3.13465e-06 0.00023306 -0.000848209 0.000380903 3.14131 5.03715e-05 0.00019973 3.14134 8.4607e-05 0.000206008 -0.030943 0.0469649 -0.0259966 -0.00822974 0.00708359 -7.56835e-05 
