O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_x F_FL_y F_FL_z F_FL_rx F_FL_ry F_FL_rz F_CLBF_x F_CLBF_y F_CLBF_z F_CLBF_rx F_CLBF_ry F_CLBF_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z acc_des_x acc_des_y acc_des_z pos_x pos_y pos_z error_x error_y error_z error_rx error_ry error_rz vel_x vel_y vel_z bodyRPY_Y bodyRPY_P bodyRPY_R bodyRPY_des_Y bodyRPY_des_P bodyRPY_des_R F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz
0.99999 -6.98848e-05 -6.16149e-05 0 -6.98662e-05 -0.99999 0.000302399 0 -6.16366e-05 -0.000302397 -1 0 0.306986 -1.63173e-05 0.486843 1 -0.234464 0.0302217 0.125006 -0.00315386 -0.041165 -6.96478e-05 0.00766511 -0.000241209 0.0342853 0.000459902 0.00307848 -9.57972e-07 0.306984 -1.41036e-05 0.486848 8.98201e-07 0 -8.98201e-07 0.00017946 0 -0.00017946 0.306986 -1.63173e-05 0.486843 2.13563e-06 -2.21373e-06 -5.51761e-06 -4.71301e-06 -1.91542e-07 5.19739e-06 0.0016629 -0.000840384 -0.00209398 3.14129 -6.16372e-05 6.98669e-05 3.1413 -6.20234e-05 8.02616e-05 -0.234458 0.0301877 0.12501 -0.00314721 0.0411633 8.25358e-05 
0.99999 -5.64467e-05 -7.7063e-05 0 -5.64228e-05 -0.99999 0.000310123 0 -7.70812e-05 -0.000310121 -1 0 0.306985 -1.39028e-05 0.486839 1 -0.138896 -0.0381125 0.17945 0.00904447 -0.0205669 -0.00020058 0.010275 -0.000323202 0.0459612 0.00061654 0.00412665 -1.32537e-06 0.306984 -1.41036e-05 0.486848 1.08661e-06 0 -1.08661e-06 0.000197347 0 -0.000197347 0.306985 -1.39028e-05 0.486839 1.36206e-06 2.00836e-07 -9.76406e-06 -8.57456e-06 7.53273e-06 1.19168e-05 0.000712524 0.000277625 -0.00280671 3.14128 -7.7082e-05 5.64233e-05 3.1413 -6.20234e-05 8.02616e-05 -0.139062 -0.0381717 0.179421 0.00905534 0.0206034 0.000206861 
0.99999 -6.37073e-05 -8.27101e-05 0 -6.36818e-05 -0.99999 0.000308466 0 -8.27306e-05 -0.000308464 -1 0 0.306985 -1.46507e-05 0.486838 1 -0.0871289 -0.00712038 0.13139 0.00293916 -0.0123409 -9.50988e-05 0.00747864 -0.000235261 0.0334531 0.000448749 0.00300356 -9.62181e-07 0.306984 -1.41036e-05 0.486848 1.29289e-06 0 -1.29289e-06 0.000215223 0 -0.000215223 0.306985 -1.46507e-05 0.486838 1.28186e-06 -5.47056e-07 -1.08036e-05 -7.74616e-06 1.03563e-05 8.28644e-06 0.000354269 -6.21394e-05 -0.00204362 3.14128 -8.27314e-05 6.36824e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0873592 -0.00717263 0.131348 0.00294836 0.0123918 9.91677e-05 
0.99999 -6.47631e-05 -7.75458e-05 0 -6.47392e-05 -0.99999 0.000308136 0 -7.75665e-05 -0.000308134 -1 0 0.306987 -1.5476e-05 0.486839 1 -0.123774 0.0561762 0.0473094 -0.0085269 -0.022927 -8.01984e-05 0.00308469 -9.70492e-05 0.0137983 0.000185097 0.00123888 -3.95521e-07 0.306984 -1.41036e-05 0.486848 1.51705e-06 0 -1.51705e-06 0.000233088 0 -0.000233088 0.306987 -1.5476e-05 0.486839 3.21378e-06 -1.37236e-06 -9.04644e-06 -7.58136e-06 7.77409e-06 7.75851e-06 0.00067107 -0.00131108 -0.000844088 3.14128 -7.75672e-05 6.47398e-05 3.1413 -6.20234e-05 8.02616e-05 -0.123946 0.0561242 0.0472792 -0.00851752 0.022965 8.83844e-05 
0.99999 -7.85074e-05 -8.14094e-05 0 -7.84823e-05 -0.99999 0.000309351 0 -8.14345e-05 -0.000309348 -1 0 0.306986 -1.53731e-05 0.486838 1 -0.0357493 0.024572 0.0568241 -0.0032074 -0.00492236 2.70138e-06 0.00311733 -9.80696e-05 0.0139444 0.000187058 0.00125198 -4.01936e-07 0.306984 -1.41036e-05 0.486848 1.75906e-06 0 -1.75906e-06 0.000250943 0 -0.000250943 0.306986 -1.53731e-05 0.486838 2.61986e-06 -1.26953e-06 -1.04358e-05 -8.18842e-06 9.70601e-06 8.86361e-07 0.000103677 -0.000709659 -0.000853266 3.14128 -8.14353e-05 7.8483e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0359649 0.0245163 0.0567855 -0.00319763 0.0049699 -6.29206e-07 
0.99999 -6.44667e-05 -7.74158e-05 0 -6.44432e-05 -0.99999 0.000303914 0 -7.74361e-05 -0.000303912 -1 0 0.306986 -1.47009e-05 0.48684 1 -0.00445338 0.00955429 -0.00433169 -0.00153352 -0.00108695 -6.08234e-05 -0.000331703 1.04362e-05 -0.00148374 -1.99025e-05 -0.000133219 4.19664e-08 0.306984 -1.41036e-05 0.486848 2.01893e-06 0 -2.01893e-06 0.000268786 0 -0.000268786 0.306986 -1.47009e-05 0.48684 2.51734e-06 -5.97333e-07 -8.58033e-06 -5.46996e-06 7.70894e-06 7.90655e-06 1.20321e-05 -0.000243972 8.86984e-05 3.14129 -7.74369e-05 6.44438e-05 3.1413 -6.20234e-05 8.02616e-05 -0.00462491 0.00951754 -0.00436307 -0.00152704 0.00112492 6.16942e-05 
0.99999 -7.58183e-05 -7.48921e-05 0 -7.57955e-05 -0.99999 0.000303887 0 -7.49159e-05 -0.000303885 -1 0 0.306986 -1.44064e-05 0.486841 1 0.0126498 0.000785459 -0.0177601 -0.000243589 0.00201342 3.30693e-05 -0.00119445 3.75813e-05 -0.0053428 -7.16674e-05 -0.000479713 1.50928e-07 0.306984 -1.41036e-05 0.486848 2.29663e-06 0 -2.29663e-06 0.000286619 0 -0.000286619 0.306986 -1.44064e-05 0.486841 2.05e-06 -3.02803e-07 -7.01213e-06 -5.45689e-06 6.44714e-06 2.23073e-06 -7.96097e-06 -9.15006e-05 0.00032397 3.14129 -7.49166e-05 7.57963e-05 3.1413 -6.20234e-05 8.02616e-05 0.0125067 0.000748349 -0.0177858 -0.00023704 -0.00198182 -3.34225e-05 
0.99999 -7.94171e-05 -8.25286e-05 0 -7.93922e-05 -0.99999 0.000302323 0 -8.25534e-05 -0.00030232 -1 0 0.306986 -1.6471e-05 0.486837 1 -0.00417145 0.0453076 0.0878655 -0.00667571 0.00270108 2.51837e-05 0.00461575 -0.000145252 0.0206474 0.000276962 0.00185378 -5.82426e-07 0.306984 -1.41036e-05 0.486848 2.59216e-06 0 -2.59216e-06 0.000304441 0 -0.000304441 0.306986 -1.6471e-05 0.486837 2.75827e-06 -2.36739e-06 -1.15268e-05 -4.67462e-06 1.02653e-05 4.31262e-07 -3.88185e-05 -0.000779791 -0.0012633 3.14129 -8.25541e-05 7.93929e-05 3.1413 -6.20234e-05 8.02616e-05 -0.00440106 0.0452774 0.0878219 -0.00667089 -0.00265015 -2.52383e-05 
0.99999 -7.64275e-05 -8.20252e-05 0 -7.6402e-05 -0.99999 0.000310027 0 -8.20497e-05 -0.000310024 -1 0 0.306987 -1.51662e-05 0.486838 1 -0.0441203 -0.0148157 0.0230347 0.00292789 -0.00794841 -1.29518e-05 0.0013588 -4.27483e-05 0.0060782 8.15377e-05 0.000545721 -1.75616e-07 0.306984 -1.41036e-05 0.486848 2.90551e-06 0 -2.90551e-06 0.000322252 0 -0.000322252 0.306987 -1.51662e-05 0.486838 3.68604e-06 -1.06255e-06 -1.01233e-05 -8.52636e-06 1.00139e-05 1.92637e-06 0.000204784 0.00011284 -0.000374165 3.14128 -8.20505e-05 7.64028e-05 3.1413 -6.20234e-05 8.02616e-05 -0.0443427 -0.0148737 0.0229949 0.00293811 0.00799746 1.55046e-05 
0.99999 -7.19726e-05 -8.75061e-05 0 -7.19457e-05 -0.99999 0.000307358 0 -8.7529e-05 -0.000307355 -1 0 0.306986 -1.6348e-05 0.486834 1 0.0308936 0.0148481 0.112895 -0.00118648 0.0106864 -4.79039e-05 0.00575 -0.000180916 0.0257217 0.000345044 0.00230932 -7.38858e-07 0.306984 -1.41036e-05 0.486848 3.23667e-06 0 -3.23667e-06 0.000340053 0 -0.000340053 0.306986 -1.6348e-05 0.486834 2.47002e-06 -2.24443e-06 -1.4077e-05 -7.19199e-06 1.27542e-05 4.15373e-06 -0.000286326 -0.000264931 -0.00157371 3.14129 -8.75299e-05 7.19464e-05 3.1413 -6.20234e-05 8.02616e-05 0.0306089 0.0148006 0.112842 -0.00117851 -0.0106234 4.51197e-05 
