O_T_EE_00 O_T_EE_01 O_T_EE_02 O_T_EE_03 O_T_EE_04 O_T_EE_05 O_T_EE_06 O_T_EE_07 O_T_EE_08 O_T_EE_09 O_T_EE_10 O_T_EE_11 O_T_EE_12 O_T_EE_13 O_T_EE_14 O_T_EE_15 F_FL_ana_x F_FL_ana_y F_FL_ana_z F_FL_ana_rx F_FL_ana_ry F_FL_ana_rz pos_des_x pos_des_y pos_des_z vel_des_x vel_des_y vel_des_z pos_x pos_y pos_z bodyRPY_des_R bodyRPY_des_P bodyRPY_des_Y bodyRPY_R bodyRPY_P bodyRPY_Y error_ana_x error_ana_y error_ana_z error_ana_rx error_ana_ry error_ana_rz 
0.99999 -0.000163326 -5.76511e-06 0 -0.000111412 -0.707098 0.707102 0 -0.000119567 -0.707109 -0.707105 0 0.306971 -0.148867 0.548471 1 -0.0567673 -0.000895078 0.0649205 0.00875154 0.00787319 6.70517e-05 0.306969 -0.148861 0.548497 2.39041e-06 0 0 0.306971 -0.148867 0.548471 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000119568 0.000111413 2.21008e-06 -6.2896e-06 -2.68132e-05 -3.9371e-06 -4.85706e-05 -5.0763e-05 
0.99999 -0.00016155 3.93257e-06 0 -0.000117013 -0.707097 0.707103 0 -0.000111454 -0.70711 -0.707103 0 0.306972 -0.148866 0.548472 1 0.00447507 -0.0266925 0.0293107 0.00734723 -0.00296067 -4.08316e-05 0.306969 -0.148861 0.548497 2.6349e-06 0 0 0.306972 -0.148866 0.548472 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000111455 0.000117014 2.93317e-06 -5.46191e-06 -2.53286e-05 -6.10966e-06 -4.04572e-05 -4.51622e-05 
0.99999 -0.000160228 -1.18444e-05 0 -0.000104922 -0.707098 0.707102 0 -0.000121675 -0.707109 -0.707105 0 0.306973 -0.148868 0.548469 1 -0.128817 0.0105258 0.0594714 0.00614877 0.0236861 0.000177254 0.306969 -0.148861 0.548497 2.89124e-06 0 0 0.306973 -0.148868 0.548469 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000121676 0.000104923 3.62989e-06 -6.73683e-06 -2.81795e-05 -4.47223e-06 -5.06782e-05 -5.7253e-05 
0.99999 -0.000158715 -6.7843e-06 0 -0.000107431 -0.707094 0.707106 0 -0.000117028 -0.707112 -0.707101 0 0.306975 -0.148866 0.54847 1 -0.133372 -0.0329268 0.0229117 0.0066782 0.0260332 9.90459e-05 0.306969 -0.148861 0.548497 3.15942e-06 0 0 0.306975 -0.148866 0.54847 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000117029 0.000107432 5.39326e-06 -5.35164e-06 -2.6922e-05 -9.23874e-06 -4.60315e-05 -5.47447e-05 
0.99999 -0.000168375 -2.99538e-06 0 -0.000116941 -0.707097 0.707103 0 -0.000121179 -0.70711 -0.707104 0 0.306973 -0.14887 0.548469 1 -0.00625943 0.0295813 0.0510313 0.00304943 -0.000867287 -2.87411e-06 0.306969 -0.148861 0.548497 3.43943e-06 0 0 0.306973 -0.14887 0.548469 2.3562 -7.09976e-05 0.000162176 2.35619 -0.00012118 0.000116942 3.63746e-06 -8.8772e-06 -2.80016e-05 -5.25349e-06 -5.01825e-05 -4.52345e-05 
0.99999 -0.000163181 -6.77751e-06 0 -0.000110593 -0.707096 0.707104 0 -0.000120181 -0.707111 -0.707103 0 0.306973 -0.148871 0.548471 1 -0.00164663 0.020993 0.0120955 -0.000779482 -0.000508981 7.85979e-05 0.306969 -0.148861 0.548497 3.73127e-06 0 0 0.306973 -0.148871 0.548471 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000120182 0.000110594 3.84148e-06 -9.65022e-06 -2.64871e-05 -6.73185e-06 -4.91842e-05 -5.15819e-05 
0.99999 -0.000161194 -1.99497e-06 0 -0.00011257 -0.707095 0.707105 0 -0.000115394 -0.707112 -0.707102 0 0.306974 -0.148869 0.548473 1 0.00256411 -0.0197382 -0.0190074 -6.92312e-05 0.000496863 3.02433e-05 0.306969 -0.148861 0.548497 4.03494e-06 0 0 0.306974 -0.148869 0.548473 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000115395 0.000112571 4.68347e-06 -8.32623e-06 -2.46895e-05 -8.72615e-06 -4.43976e-05 -4.96052e-05 
0.99999 -0.000165307 1.87379e-06 0 -0.000118214 -0.707096 0.707104 0 -0.000115566 -0.707111 -0.707103 0 0.306976 -0.14887 0.548471 1 -0.202275 0.0104821 0.0387496 0.00294373 0.0393299 5.21489e-05 0.306969 -0.148861 0.548497 4.35041e-06 0 0 0.306976 -0.14887 0.548471 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000115567 0.000118215 6.34535e-06 -9.04728e-06 -2.60717e-05 -7.01731e-06 -4.45697e-05 -4.39615e-05 
0.99999 -0.000161252 4.62994e-06 0 -0.000117295 -0.707096 0.707104 0 -0.00011075 -0.707111 -0.707103 0 0.306977 -0.14887 0.548472 1 -0.157149 -0.00396013 -0.00387397 -0.00036768 0.0296144 -6.92118e-05 0.306969 -0.148861 0.548497 4.67769e-06 0 0 0.306977 -0.14887 0.548472 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000110751 0.000117296 7.411e-06 -8.84897e-06 -2.48751e-05 -7.03839e-06 -3.97534e-05 -4.48799e-05 
0.99999 -0.000164168 1.23395e-06 0 -0.000116957 -0.7071 0.7071 0 -0.000115213 -0.707107 -0.707107 0 0.306979 -0.148871 0.54847 1 -0.368842 0.0228716 0.0647745 0.00417849 0.0705149 2.12736e-05 0.306969 -0.148861 0.548497 5.01678e-06 0 0 0.306979 -0.148871 0.54847 2.3562 -7.09976e-05 0.000162176 2.35619 -0.000115214 0.000116958 9.2629e-06 -1.01567e-05 -2.78337e-05 -1.53657e-06 -4.42162e-05 -4.52186e-05 
0.99999 -0.000163448 -5.16198e-06 0 -0.000111925 -0.707101 0.707098 0 -0.000119226 -0.707105 -0.707108 0 0.306977 -0.148872 0.548468 1 -0.22739 0.0414734 0.0664611 0.00279305 0.042455 0.00014368 0.306969 -0.148861 0.548497 5.36765e-06 0 0 0.306977 -0.148872 0.548468 2.3562 -7.09976e-05 0.000162176 2.3562 -0.000119227 0.000111927 7.99655e-06 -1.14618e-05 -2.89428e-05 7.34772e-07 -4.82297e-05 -5.02499e-05 
